,user_id,posted,item_id,recommend,year_posted,sentiment_analysis
0,76561197970982479,05-11-2011,1250,True,2011,2
1,76561197970982479,15-07-2011,22200,True,2011,2
2,76561197970982479,21-04-2011,43110,True,2011,2
3,js41637,24-06-2014,251610,True,2014,2
4,js41637,08-09-2013,227300,True,2013,2
5,js41637,29-11-2013,239030,True,2013,2
7,evcentric,04-12-2015,370360,True,2015,2
8,evcentric,03-11-2014,237930,True,2014,2
9,evcentric,15-10-2014,263360,True,2014,1
10,evcentric,15-10-2014,107200,True,2014,2
11,evcentric,15-10-2014,224500,True,2014,2
12,doctr,14-10-2013,250320,True,2013,2
13,doctr,28-07-2012,20920,True,2012,2
14,doctr,02-06-2012,204100,True,2012,2
15,doctr,29-06-2014,224600,True,2014,2
16,doctr,22-11-2012,207610,True,2012,0
17,doctr,23-02-2012,108710,True,2012,2
18,maplemage,15-04-2014,211420,True,2014,1
19,maplemage,23-12-2013,211820,True,2013,2
20,maplemage,14-03-2014,730,True,2014,2
21,maplemage,11-07-2013,204300,True,2013,2
22,Wackky,05-05-2014,249130,True,2014,1
23,Wackky,24-12-2012,207610,True,2012,1
24,Wackky,21-10-2012,550,True,2012,2
25,Wackky,20-03-2012,65800,True,2012,2
26,Wackky,09-03-2012,220,True,2012,2
29,76561198089393905,01-02-2015,72850,True,2015,0
30,76561198089393905,20-06-2014,440,True,2014,1
33,76561198077246154,25-08-2014,304930,True,2014,1
34,WeiEDKrSat,25-12-2013,4000,True,2013,1
35,thequeenpanda,23-06-2012,42910,True,2012,1
36,death-hunter,05-09-2015,232090,True,2015,2
37,death-hunter,30-03-2015,1250,True,2015,2
38,death-hunter,19-02-2014,4000,True,2014,2
39,DJKamBer,14-07-2014,304930,True,2014,2
40,DJKamBer,27-04-2013,570,True,2013,2
41,DJKamBer,20-07-2015,218620,True,2015,2
42,DJKamBer,04-11-2013,224260,True,2013,2
43,DJKamBer,12-07-2013,1250,True,2013,0
44,DJKamBer,19-08-2012,440,True,2012,2
45,Rainbow-Dashie,19-06-2015,730,True,2015,2
46,Rainbow-Dashie,20-09-2014,440,True,2014,2
47,Rainbow-Dashie,07-09-2014,49520,True,2014,1
48,76561198043472122,19-12-2014,33440,False,2014,1
49,MarbleShrine,17-02-2015,220200,True,2015,2
50,PPanther,07-06-2014,211820,True,2014,2
51,devvonst,12-02-2014,440,True,2014,2
52,devvonst,09-02-2014,218740,True,2014,2
53,devvonst,31-10-2015,550,True,2015,2
55,starkillershadow553,04-02-2015,238090,True,2015,0
57,starkillershadow553,05-04-2014,277430,True,2014,2
58,76561198058373434,08-01-2015,8870,True,2015,2
59,76561198048353577,26-10-2015,368230,True,2015,0
61,76561198048353577,20-03-2013,33930,True,2013,2
62,76561198066046412,28-12-2015,359320,False,2015,0
63,76561198066046412,19-05-2015,219640,True,2015,2
64,tru_mu_,15-12-2015,287980,True,2015,2
66,76561198070565427,21-08-2015,208090,True,2015,2
67,76561198070565427,17-10-2014,242700,True,2014,1
68,76561198070565427,27-06-2014,570,False,2014,1
69,76561198070565427,28-04-2014,224260,True,2014,1
70,SavageEeEe,12-11-2015,221100,True,2015,2
71,76561198076909484,18-06-2014,570,True,2014,2
72,KanadeTheNeko,20-11-2014,331470,True,2014,2
73,KanadeTheNeko,29-05-2014,4000,True,2014,2
75,GoAwayZach,29-12-2014,304930,True,2014,2
76,76561198054540475,13-02-2015,12210,True,2015,0
77,76561198054540475,26-12-2014,265210,True,2014,1
78,76561198054540475,04-02-2014,48700,True,2014,2
81,76561198061252210,21-05-2015,730,True,2015,2
82,OfficialShroomsy,06-12-2013,113200,True,2013,2
83,boydeer,12-05-2014,440,True,2014,1
84,boydeer,24-08-2015,383080,False,2015,1
85,VVillis,06-01-2015,213670,True,2015,1
