genres,item_name,release_date,price,item_id,developer,year
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018-01-04,4.99,643980,Secret Level SRL,2018
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017-07-24,4.99,670290,Poolians.com,2017
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,0.99,767400,彼岸领域,2017
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018-01-04,9.99,774276,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,29.99,774278,Poppermost Productions,2018
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018-01-04,4.99,768800,RewindApp,2018
"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,Soon..,4.99,768570,Qucheza,Soon..
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
"['Casual', 'Indie']",Beach Rules,2018-01-04,3.99,768880,Copperpick Studio,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,14.99,774271,Poppermost Productions,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,1.99,773690,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,59.99,774279,Poppermost Productions,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,2.99,775881,FrozenPepper,2017
"['Action', 'Indie']",DinoBlaster,2018-01-03,4.99,653960,Casey Labrack,2018
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd,1997
['Action'],Half-Life,1998-11-08,9.99,70,Valve,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,1.99,752360,dev4play,2016
"['Casual', 'Indie', 'Strategy']",Lost Cities,2018-01-01,4.99,520680,BlueLine Games,2018
['Action'],Twisted Enhanced Edition,2018-01-01,4.99,690410,Games by Brundle,2018
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames,2018
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018-01-01,4.99,413120,ProjectorGames,2018
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017-12-30,4.99,773120,Unknown Indie Devs,2017
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018-01-01,8.99,754360,The Commander,2018
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff",2018
['Strategy'],Disciples II: Gallean's Return,2006-07-06,6.99,1640,Strategy First,2006
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,6.99,1630,Strategy First,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.,2006
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,2017,4.99,381620,Breakout Studio,2017
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,Beta测试已开启,4.99,714020,"zha7,Phaedruns,Yingke Wu",Beta测试已开启
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,7.99,759920,Ultraint,2017
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018-03-30,4.99,659780,Seth Albertus,2018
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS,2017
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games,2017
"['Action', 'Indie']",Orbitality,2017-12-29,9.99,753100,Wonderbox Games,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,1.99,764280,Mad Unicorn Games,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.99,758550,Emanon Studios,2017
['Action'],Advent Rising,2005-08-09,9.99,3800,GlyphX Games,2005
"['Indie', 'Strategy']",DEFCON,2006-09-29,9.99,1520,Introversion Software,2006
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.,2006
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios,2006
['Racing'],RACE - The WTCC Game,2006-11-24,39.99,4230,SimBin,2006
"['Casual', 'Indie']",Zen of Sudoku,2006-12-14,4.99,4900,Unknown Worlds Entertainment,2006
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o.",2006
['Strategy'],Ghost Master®,2003-08-23,4.99,6200,Sick Puppies,2003
['Strategy'],Vegas: Make It Big™,2006-12-21,4.99,6210,Deepred,2006
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom,2006
['Racing'],FlatOut 2™,2006-08-01,9.99,2990,Bugbear Entertainment,2006
['Racing'],FlatOut,2005-07-12,7.49,6220,Bugbear Entertainment,2005
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd.",2007
['Strategy'],CivCity: Rome,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games",2006
['RPG'],Arx Fatalis,2002-11-12,4.99,1700,Arkane Studios,2002
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,9.99,6310,Funcom,2000
['Strategy'],Civilization IV®: Warlords,2006-07-24,4.99,3990,Firaxis Games,2006
['Strategy'],Railroad Tycoon 3,2003-10-23,9.99,7610,PopTop,2003
['Strategy'],Sid Meier's Railroads!,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006
['Strategy'],Railroad Tycoon II Platinum,1998-10-31,4.99,7620,PopTop,1998
"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,4.99,2540,Elephant Games,2007
['Strategy'],X-COM: Terror From the Deep,1995-04-01,4.99,7650,"MicroProse Software, Inc",1995
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550,"CAPCOM Co., Ltd.",2006
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games,2006
['Action'],Final DOOM,1996-06-17,4.99,2290,id Software,1996
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007-06-29,4.99,2570,Freegamer,2007
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games,2006
['Action'],Ultimate Doom,1995-04-30,4.99,2280,id Software,1995
['Action'],Master Levels for Doom II,1995-06-01,14.99,9160,id Software,1995
['Action'],DOOM II,1994-05-05,4.99,2300,id Software,1994
['Action'],Wolfenstein 3D,1994-08-03,4.99,2270,id Software,1994
